中文名称,英文名称,功能,食品名称,最大使用量(g/kg)
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,炼乳及其调制产品,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,淡炼乳（原味）,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,调制炼乳（包括加糖炼乳及使用了非乳原料的调制炼乳等）,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,稀奶油（淡奶油）及其类似品,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,--,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,调制稀奶油,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,稀奶油类似品,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,干酪和再制干酪及其类似品,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,非熟化干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,熟化干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳清干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,再制干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,普通再制干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,调味再制干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,干酪类似品,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳清蛋白干酪,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,以乳为主要配料的即食风味食品或其预制产品（不包括冰淇淋和风味发酵乳）,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他乳制品（如乳清粉、酪蛋白粉）,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,调制乳,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,风味发酵乳,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,淡炼乳（原味）,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,氢化植物油,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,水油状脂肪乳化制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,脂肪含量80%以上的乳化制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,人造黄油（人造奶油）及其类似制品（如黄油和人造黄油混合品）,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,脂肪含量80%以下的乳化制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,02.02类以外的脂肪乳化制品，包括混合的和（或）调味的脂肪乳化制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,冰淇淋、雪糕类,1.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果酱,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,可可制品、巧克力和巧克力制品，包括代可可脂巧克力及制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,可可制品（包括以可可为主要原料的脂、粉、浆、酱、馅等),5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,巧克力和巧克力制品、除05.01.01以外的可可制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,代可可脂巧克力及使用可可脂代用品的巧克力类似产品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,胶基糖果,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,装饰糖果（如工艺造型，或用于蛋糕装饰）、顶饰（非水果材料）和甜汁,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,生湿面制品（如面条、饺子皮、馄饨皮、烧麦皮）,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,生干面制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,发酵面制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,方便米面制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,冷冻米面制品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,面包,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,糕点,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,中式糕点（月饼除外）,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,西式糕点,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,月饼,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,糕点上彩装,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,焙烤食品馅料及表面用挂浆,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他焙烤食品,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,调味糖浆,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,水果调味糖浆,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他调味糖浆,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,半固体复合调味料,8.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,蛋黄酱、沙拉酱,8.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,以动物性原料为基料的调味酱,8.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,以蔬菜为基料的调味酱,8.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他半固体复合调味料,8.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,饮料类（14.01包装饮用水除外）,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬汁类及其饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬汁（浆）类饮料,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,蛋白饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,发酵型含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,配制型含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳酸菌饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物蛋白饮料,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,复合蛋白饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他蛋白饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,可乐型碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他型碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,茶、咖啡、植物（类）饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,茶（类）饮料类,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,咖啡（类）饮料,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,--,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,速溶咖啡,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,含乳蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳酸菌含乳蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,复合蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他蛋白固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬粉,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,茶类固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,风味固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果味风味固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,特殊用途固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,固体碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,可乐型固体碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他型固体碳酸饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,麦芽汁发酵的非酒精固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,除上述之外的其他固体饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,特殊用途饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,风味饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,其他类饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬汁（浆）类饮料,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,发酵型含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,配制型含乳饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳酸菌饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物蛋白饮料,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,咖啡（类）饮料,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,啤酒和麦芽饮料,0.3
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,含乳蛋白固体饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,乳酸菌含乳蛋白固体饮料,4.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,植物蛋白固体饮料,5.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,速溶咖啡,3.0
海藻酸丙二醇酯,propylene glycol alginate,增稠剂、乳化剂、稳定剂,果蔬固体饮料,3.0
海藻酸钠(又名褐藻酸钠),sodium alginate,增稠剂、稳定剂,稀奶油,按生产需要适量使用
海藻酸钠(又名褐藻酸钠),sodium alginate,增稠剂、稳定剂,黄油和浓缩黄油,按生产需要适量使用
海藻酸钠(又名褐藻酸钠),sodium alginate,增稠剂、稳定剂,生湿面制品（如面条、饺子皮、馄饨皮、烧麦皮）,按生产需要适量使用
